testKey,platformName,jobName
"PUBLIC:-Demo-Examples/TC54 DBank Login.xml","19241FDF600CFG","TC54 DBank LoginTest"
"PUBLIC:-Demo-Examples/TC72 - Bank Login.xml","19241FDF600CFG","TC72 LoginTest"
